Tweet ID,Creator account,Text,Timestamp
1706716430056530203,@immunefi,RT @Cointelegraph: Immunefi creates an on-chain system that allows whitehat hackers to verify bug bounty funds. https://t.co/c4nS4dFNHv,2023-09-26T17:04:40.000Z,https://twitter.com/immunefi/status/1706716430056530203
1706713366499409988,@samczsun,RT @pcaversaccio: Today is a historic moment for SEAL 911 as it was the first incident where we were able to prevent damage _before_ the at…,2023-09-26T16:52:30.000Z,https://twitter.com/samczsun/status/1706713366499409988
1706711201592308023,@DeDotFiSecurity,"Exciting days are on the way! ✨  Presenting #Web3SecurityConference2023 with a top-notch speaker:  🔷 @lisaisloud, Executive Director of @SecretNetwork  Lisa Loud is a FinTech influencer and international bi-lingual speaker on the practical applications of blockchain and new… https://t.co/YF9etdnxuU https://t.co/jMnkSbo3hu",2023-09-26T16:43:54.000Z,https://twitter.com/DeDotFiSecurity/status/1706711201592308023
1706702189173915965,@DoraHacks,🫡See you all in Istanbul next week 🇹🇷 https://t.co/5ATmPR8iLa,2023-09-26T16:08:05.000Z,https://twitter.com/DoraHacks/status/1706702189173915965
1706699347318936021,@CertiKAlert,#CertiKSkynetAlert 🚨  An Ethereum wallet tied to a Sinaloa Cartel member has been sanctioned by OFAC  EOA 0x9c2 has been tied to Mario Jimenez Castro who has been identified as a Sinaloa Cartel member.  See more below 👇  https://t.co/FPxgEfa1AY,2023-09-26T15:56:47.000Z,https://twitter.com/CertiKAlert/status/1706699347318936021
1706699201122283535,@immunefi,RT @ssv_network: We're glad to be debuting @immunefi's Vault System 💪,2023-09-26T15:56:13.000Z,https://twitter.com/immunefi/status/1706699201122283535
1706693164382179599,@DeDotFiSecurity,RT @cryptonews: 🔥 Web3 Security Conference 2023 is here!  ⚡️ Join us to protect the future of #Web3 with @DeDotFi and @eth_milano!  🔒 Learn…,2023-09-26T15:32:13.000Z,https://twitter.com/DeDotFiSecurity/status/1706693164382179599
1706693099546690027,@immunefi,RT @0xJuancito: This is the best news for whitehats I've seen in a long time. Great call by Immunefi 👏,2023-09-26T15:31:58.000Z,https://twitter.com/immunefi/status/1706693099546690027
1706690566619054189,@immunefi,"RT @sentient_x: Congratulations to @immunefi on the launch of vaults, WH are critical and calculating return on time is key to WH engagemen…",2023-09-26T15:21:54.000Z,https://twitter.com/immunefi/status/1706690566619054189
1706685163738972569,@immunefi,"RT @CoinDesk: Immunefi, Web3 security platform, launches on-chain “Vaults System,” for bug bounty deposits and payouts. @liqquidity reports…",2023-09-26T15:00:26.000Z,https://twitter.com/immunefi/status/1706685163738972569
1706680864413757739,@DeDotFiSecurity,@DeDotFi 8/ And that's it!  If you enjoyed this thread: 1. Follow us @DeDotFi and turn on notifications so you don't miss out! 2. Retweet the 1st tweet of this thread to help inspire others: https://t.co/0aRroIGCxE,2023-09-26T14:43:21.000Z,https://twitter.com/DeDotFiSecurity/status/1706680864413757739
1706680740191060081,@DeDotFiSecurity,"@DeDotFi 7/ This tool is a must-have to save you from being REKT.  Now that you've become skilled, you'll be more discerning and less likely to fall prey to obvious rug pulls.  Also, something is brewing soon 👀 https://t.co/iI2DF43Ek5",2023-09-26T14:42:51.000Z,https://twitter.com/DeDotFiSecurity/status/1706680740191060081
1706680579893166427,@DeDotFiSecurity,@DeDotFi 6/ The scanner also found 3 medium-risk items:  • the smart contract was deployed less than 14 days ago • a private wallet owns a significant percentage of this token's total supply • contract uses a type of authorization that may be exploited through other malicious contracts https://t.co/bJzytsduWA,2023-09-26T14:42:13.000Z,https://twitter.com/DeDotFiSecurity/status/1706680579893166427
1706680151302377685,@DeDotFiSecurity,@DeDotFi 5/ 🚩 Scanner found 2 high-risk items:  • Transfer Fee (fee couldn't be defined and modifiable) - the owner can change the commission by 100% after our purchase.  • Low Liquidity - possibly resulting in high volatility or loss of swap functionality. https://t.co/njDFijs5dF,2023-09-26T14:40:31.000Z,https://twitter.com/DeDotFiSecurity/status/1706680151302377685
1706680018863075619,@DeDotFiSecurity,"@DeDotFi 4/ @DeDotFi is a powerful tool:  • that provides: contract safety, high-risk features, liquidity, token distribution, and reports.  Let's figure out why the token ""PEPE"" that We found on @DeDotFi Market falling by -99% in 24 hours.  Poor investors who aped in this token https://t.co/0Bu3dHbfDF",2023-09-26T14:39:59.000Z,https://twitter.com/DeDotFiSecurity/status/1706680018863075619
1706679815795884192,@DeDotFiSecurity,"@DeDotFi 3/ In this thread, I'll be showing you:  How to analyze the token to uncover vulnerabilities behind the contract using: • @DeDotFi  Let's dive in! https://t.co/hq90MTbsWw",2023-09-26T14:39:11.000Z,https://twitter.com/DeDotFiSecurity/status/1706679815795884192
